SourcePub,Profile_name,X,Y
Frankel2001,24,105.041,591.116
Frankel2001,24,105.531,590.612
Frankel2001,24,105.531,590.612
Frankel2001,24,105.899,590.108
Frankel2001,24,106.267,589.856
Frankel2001,24,107.246,589.099
Frankel2001,24,107.246,589.099
Frankel2001,24,107.982,588.722
Frankel2001,24,108.839,588.343
Frankel2001,24,109.697,588.092
Frankel2001,24,110.432,587.713
Frankel2001,24,110.432,587.713
Frankel2001,24,111.045,587.461
Frankel2001,24,111.412,587.084
Frankel2001,24,111.903,586.831
Frankel2001,24,112.393,586.578
Frankel2001,24,112.393,586.578
Frankel2001,24,113.495,585.949
Frankel2001,24,114.721,585.319
Frankel2001,24,114.721,585.319
Frankel2001,24,115.702,584.563
Frankel2001,24,116.681,583.806
Frankel2001,24,116.681,583.806
Frankel2001,24,117.539,583.177
Frankel2001,24,117.906,582.925
Frankel2001,24,118.396,582.547
Frankel2001,24,118.396,582.547
Frankel2001,24,119.009,582.168
Frankel2001,24,119.622,581.664
Frankel2001,24,120.358,581.287
Frankel2001,24,120.97,580.908
Frankel2001,24,120.97,580.908
Frankel2001,24,122.195,580.405
Frankel2001,24,123.42,579.901
Frankel2001,24,123.42,579.901
Frankel2001,24,123.91,579.647
Frankel2001,24,124.278,579.397
Frankel2001,24,124.646,579.27
Frankel2001,24,125.135,579.144
Frankel2001,24,125.135,579.144
Frankel2001,24,125.626,579.144
Frankel2001,24,126.239,579.397
Frankel2001,24,127.587,579.774
Frankel2001,24,127.587,579.774
Frankel2001,24,128.322,580.027
Frankel2001,24,129.057,580.279
Frankel2001,24,129.792,580.405
Frankel2001,24,130.528,580.53
Frankel2001,24,130.528,580.53
Frankel2001,24,131.262,580.53
Frankel2001,24,131.875,580.405
Frankel2001,24,133.345,580.027
Frankel2001,24,133.345,580.027
Frankel2001,24,134.938,579.647
Frankel2001,24,136.532,579.019
Frankel2001,24,136.532,579.019
Frankel2001,24,137.389,578.64
Frankel2001,24,138.247,578.136
Frankel2001,24,138.982,577.632
Frankel2001,24,139.84,577.255
Frankel2001,24,139.84,577.255
Frankel2001,24,140.575,576.876
Frankel2001,24,141.187,576.624
Frankel2001,24,141.923,576.372
Frankel2001,24,142.903,575.994
Frankel2001,24,142.903,575.994
Frankel2001,24,144.128,575.616
Frankel2001,24,145.476,575.238
Frankel2001,24,146.947,574.86
Frankel2001,24,148.417,574.356
Frankel2001,24,148.417,574.356
Frankel2001,24,149.398,573.978
Frankel2001,24,150.622,573.347
Frankel2001,24,151.235,573.096
Frankel2001,24,151.971,572.843
Frankel2001,24,152.951,572.591
Frankel2001,24,153.931,572.34
Frankel2001,24,153.931,572.34
Frankel2001,24,154.788,572.213
Frankel2001,24,155.769,572.088
Frankel2001,24,156.75,571.962
Frankel2001,24,157.975,571.709
Frankel2001,24,160.426,571.457
Frankel2001,24,163.121,571.079
Frankel2001,24,165.939,570.827
Frankel2001,24,168.635,570.449
Frankel2001,24,171.331,570.197
Frankel2001,24,173.658,569.818
Frankel2001,24,173.658,569.818
Frankel2001,24,175.742,569.441
Frankel2001,24,177.825,569.19
Frankel2001,24,181.623,568.433
Frankel2001,24,185.299,567.677
Frankel2001,24,187.382,567.299
Frankel2001,24,189.465,566.92
Frankel2001,24,189.465,566.92
Frankel2001,24,191.67,566.543
Frankel2001,24,193.999,566.165
Frankel2001,24,198.9,565.408
Frankel2001,24,203.802,564.526
Frankel2001,24,208.825,563.393
Frankel2001,24,208.825,563.393
Frankel2001,24,211.399,562.762
Frankel2001,24,213.973,562.006
Frankel2001,24,219.363,560.368
Frankel2001,24,222.058,559.486
Frankel2001,24,224.632,558.605
Frankel2001,24,226.96,557.849
Frankel2001,24,229.288,557.217
Frankel2001,24,229.288,557.217
Frankel2001,24,231.371,556.714
Frankel2001,24,233.331,556.209
Frankel2001,24,235.292,555.706
Frankel2001,24,237.008,555.328
Frankel2001,24,240.44,554.571
Frankel2001,24,243.624,553.688
Frankel2001,24,243.624,553.688
Frankel2001,24,246.686,552.681
Frankel2001,24,249.505,551.547
Frankel2001,24,252.201,550.413
Frankel2001,24,254.897,549.531
Frankel2001,24,254.897,549.531
Frankel2001,24,257.716,549.026
Frankel2001,24,260.534,548.649
Frankel2001,24,261.759,548.522
Frankel2001,24,262.983,548.398
Frankel2001,24,264.087,548.271
Frankel2001,24,264.946,548.019
Frankel2001,24,264.946,548.019
Frankel2001,24,265.435,547.766
Frankel2001,24,265.803,547.515
Frankel2001,24,266.415,546.758
Frankel2001,24,266.782,546.128
Frankel2001,24,266.907,545.876
Frankel2001,24,267.15,545.75
Frankel2001,24,267.15,545.75
Frankel2001,24,267.763,545.625
Frankel2001,24,269.846,545.625
Frankel2001,24,269.846,545.625
Frankel2001,24,270.337,545.498
Frankel2001,24,270.826,545.372
Frankel2001,24,271.806,544.993
Frankel2001,24,271.806,544.993
Frankel2001,24,272.91,544.742
Frankel2001,24,273.889,544.365
Frankel2001,24,273.889,544.365
Frankel2001,24,274.38,544.112
Frankel2001,24,274.747,543.986
Frankel2001,24,275.115,543.734
Frankel2001,24,275.604,543.481
Frankel2001,24,275.604,543.481
Frankel2001,24,276.216,543.355
Frankel2001,24,276.831,543.23
Frankel2001,24,277.566,542.978
Frankel2001,24,278.178,542.852
Frankel2001,24,278.178,542.852
Frankel2001,24,278.668,542.6
Frankel2001,24,279.036,542.474
Frankel2001,24,279.402,542.221
Frankel2001,24,279.894,541.97
Frankel2001,24,279.894,541.97
Frankel2001,24,280.872,541.592
Frankel2001,24,281.976,541.214
Frankel2001,24,281.976,541.214
Frankel2001,24,282.835,540.584
Frankel2001,24,283.692,539.953
Frankel2001,24,283.692,539.953
Frankel2001,24,284.181,539.575
Frankel2001,24,284.794,539.197
Frankel2001,24,285.408,538.692
Frankel2001,24,285.897,538.441
Frankel2001,24,285.897,538.441
Frankel2001,24,286.633,538.19
Frankel2001,24,287.001,538.19
Frankel2001,24,287.614,538.063
Frankel2001,24,287.614,538.063
Frankel2001,24,288.101,538.063
Frankel2001,24,288.716,537.936
Frankel2001,24,290.309,537.812
Frankel2001,24,291.779,537.812
Frankel2001,24,292.515,537.685
Frankel2001,24,295.455,537.685
Frankel2001,24,296.558,537.56
Frankel2001,24,296.558,537.56
Frankel2001,24,297.047,537.433
Frankel2001,24,297.659,537.307
Frankel2001,24,299.008,537.054
Frankel2001,24,300.602,536.677
Frankel2001,24,302.317,536.299
Frankel2001,24,303.909,535.921
Frankel2001,24,305.502,535.668
Frankel2001,24,306.849,535.541
Frankel2001,24,307.83,535.541
Frankel2001,24,307.83,535.541
Frankel2001,24,308.443,535.795
